ID,Name,Works_for,Work_History,Founder,Country,City,Gender,Main Category,Subcategory,Role,Community,PhD,PhD Type,PhD of,LinkedIn,h-index,Associated With,Other companies founded,Still_Active_in_Prev_Co,Prev. Co-founders,Senior_Role_Big_Tech,Highly_Cited_Professor,Career-long Citations,Specialisation,Other Notable Facts
P3225,André Grilo,QuantumNova Cybersecurity,,,Portugal,Sintra,,,,CEO and Cybersecurity Specialist,,,,,https://www.linkedin.com/in/andrégrilo/,,,,,,,,,,
P3226,John Neve,Quantum Lex,,,United States,Minneapolis,,,,Founder and CEO,,,,,https://www.linkedin.com/in/johnneve/,,,,,,,,,,
P3227,Mario Redmond,SandboxAQ,,,United States,Dallas,,,,Sales Development Representative,,,,,https://www.linkedin.com/in/mario-redmond/,,,,,,,,,,
P3228,Raphael Hagenbuch,Quantum Systems,,,Germany,Munich,,,,Chief of Staff,,,,,https://www.linkedin.com/in/raphael-hagenbuch-60029576/,,,,,,,,,,
P3229,"Zhanet Zaharieva, Ph.D.",Quantum Dice,,,United Kingdom,United Kingdom,,,,COO & Co-Founder,,,,,https://www.linkedin.com/in/zhanet-zaharieva-ph-d-b6b05b67/,,,,,,,,,,
P3230,Don Harrington,Quantum Grafix,,,United States,Cleveland,,,,Owner / Principal Designer,,,,,https://www.linkedin.com/in/don-harrington-aa643a21/,,,,,,,,,,
P3231,Kaongolo Nyambe,First Quantum Minerals,,,Zambia,Zambia,,,,Specialist - Sourcing & Contracts,,,,,https://www.linkedin.com/in/kaongolo-nyambe/,,,,,,,,,,
P3232,Vitaly Vanchurin,Artificial Neural Computing,,,United States,Miami-Fort Lauderdale Area,,,,Founder & CEO,,,,,https://www.linkedin.com/in/vitaly-vanchurin-959a45135/,,,,,,,,,,
P3233,Oskar Nikolas Lingk,Project A,,,Germany,Berlin,,,,Senior Investment Associate,,,,,https://www.linkedin.com/in/oskar-nikolas-lingk-761277106/,,,,,,,,,,
P3234,Scott Holmes,Quantum,,,United States,Laguna Niguel,,,,"Area VP of Sales, Enterprise and Media Solutions Teams",,,,,https://www.linkedin.com/in/scott-holmes-a17b8b/,,,,,,,,,,
P3235,André Juan Ferreira Martins,Technology Innovation Institute,,,أبو ظبي أبو ظبي الإمارات العربية المتحدة,أبو ظبي أبو ظبي الإمارات العربية المتحدة,,,,Quantum Applications Scientist,,,,,https://www.linkedin.com/in/aj-ferreira-martins/,,,,,,,,,,
P3236,Alexandre Moret,CryptoNext Security,,,France,Paris,,,,Key Account Director,,,,,https://www.linkedin.com/in/moret/,,,,,,,,,,
P3237,Alex H.,First Quantum Minerals,,,Zambia,Zambia,,,,Construction Completion Superintendent,,,,,https://www.linkedin.com/in/alex-h-76051244/,,,,,,,,,,
P3238,Halyna Kyrychynska,Quantum_Inc.,,,United States,United States,,,,Client Solutions Manager,,,,,https://www.linkedin.com/in/halyna-kyrychynska-a4319221b/,,,,,,,,,,
P3239,Alex Quintos,Quantum Capital Group,,,United States,Austin,,,,Vice President,,,,,https://www.linkedin.com/in/alex-quintos-98449a96/,,,,,,,,,,
P3240,Julia Beck,eleQtron GmbH,,,Germany,Germany,,,,Executive Vice President,,,,,https://www.linkedin.com/in/julia-beck-32782889/,,,,,,,,,,
P3241,Jay Patel,Bloq Quantum,,,Canada,Toronto,,,,Co-Founder and CTO,,,,,https://www.linkedin.com/in/jaypatel257/,,,,,,,,,,
P3242,"Adam S. Dooley, Ph.D.",D-Wave,,,United States,Doylestown,,,,Regional Sales Manager,,,,,https://www.linkedin.com/in/adamdooley/,,,,,,,,,,
P3243,Stefano Bosco,QuTech,,,Netherlands,Netherlands,,,,Group Leader,,,,,https://www.linkedin.com/in/stefano-bosco-191a0676/,,,,,,,,,,
P3244,"Lily Akwisombe, CDR",Quantum Metric,,,United States,Washington,,,,Senior Recruiter,,,,,https://www.linkedin.com/in/lily-akwisombe-cdr-435928151/,,,,,,,,,,
P3245,Jash Minocha,BQP,,,India,Bengaluru,,,,Founder and COO,,,,,https://www.linkedin.com/in/jash-kumar/,,,,,,,,,,
P3246,Spencer Churchill,IonQ,,,United States,United States,,,,Senior Software Engineer,,,,,https://www.linkedin.com/in/splcher/,,,,,,,,,,
P3247,Clint Webb,SpectralQC Inc,,,United States,San Francisco,,,,Co-Founder,,,,,https://www.linkedin.com/in/clintwebb/,,,,,,,,,,
P3248,YANNICK SEGAL,Quantum Machines,,,France,Paris,,,,Sales &  Scientific Business Development Manager,,,,,https://www.linkedin.com/in/yannick-segal-99708a4/,,,,,,,,,,
P3249,Fabian Finger,Quantinuum,,,United Kingdom,London,,,,Machine Learning Engineer,,,,,https://www.linkedin.com/in/fabianfinger/,,,,,,,,,,
P3250,Jelena Trbovic,QuantrolOx,,,Switzerland,Basel,,,,Vice President of Business Development,,,,,https://www.linkedin.com/in/jelena-trbovic-94221944/,,,,,,,,,,
P3251,ANIRUDH JAIN,Quantum Consumer Solutions: Insight & Design Strategy,,,India,Gurugram,,,,Growth Manager,,,,,https://www.linkedin.com/in/anirudhjain9/,,,,,,,,,,
P3252,Kristine Rezai,IQM Quantum Computers,,,United States,Boston,,,,"Technical Presales Engineer, North America",,,,,https://www.linkedin.com/in/kristine-rezai-63773525/,,,,,,,,,,
P3253,Charles Prochazka,Oxford Quantum Circuits (OQC),,,United Kingdom,Sidlesham Common,,,,Operations Project Manager,,,,,https://www.linkedin.com/in/charles-prochazka-09096776/,,,,,,,,,,
P3254,Jasmeetsingh Saluja,Quantum Networks,,,India,Gurugram,,,,Presales Consultant,,,,,https://www.linkedin.com/in/jasmeetsingh-saluja-a89019203/,,,,,,,,,,
P3255,Renato Mello da Silva Farias,Technology Innovation Institute,,,Rio de Janeiro,Praça Unidos do Brasil,,,,Pesquisador Associado,,,,,https://www.linkedin.com/in/renato-msf/,,,,,,,,,,
P3256,Martin Roetteler,IonQ,,,United States,Redmond,,,,VP of Quantum Solutions,,,,,https://www.linkedin.com/in/martin-roetteler-a30a41a/,,,,,,,,,,
P3257,Kelvin Ngosa,Minera Panama,,,Zambia,Zambia,,,,Chief Metallurgist - Cobre Panama,,,,,https://www.linkedin.com/in/kelvin-ngosa-16a53187/,,,,,,,,,,
P3258,Carla Reis,Quantum,,,Rio de Janeiro,Praça Unidos do Brasil,,,,Head of Marketing,,,,,https://www.linkedin.com/in/carlareisbaptista/,,,,,,,,,,
P3259,Rohan Tawar,Quantum Software Solutions Private Limited,,,India,Mumbai,,,,Data Analyst,,,,,https://www.linkedin.com/in/rohan-tawar-86a8961b7/,,,,,,,,,,
P3260,Christian Schmitz,evolutionQ,,,Germany,Aachen,,,,Managing Director,,,,,https://www.linkedin.com/in/christian-schmitz-917886118/,,,,,,,,,,
P3261,Dr. Beri N.,NANOARC,,,United Kingdom,United Kingdom,,,,Founder & Chief Executive Officer,,,,,https://www.linkedin.com/in/dr-beri-n-mbenkum-nanoarc/,,,,,,,,,,
P3262,Lesther Roque,First Quantum Minerals,,,Panama,Panama,,,,Control Systems Engineer,,,,,https://www.linkedin.com/in/lesther-roque-0710/,,,,,,,,,,
P3263,Dr. Jorge Tiago S.,IQM Quantum Computers,,,Finland,Espoo,,,,Director Corporate Development,,,,,https://www.linkedin.com/in/jsantos24/,,,,,,,,,,
P3264,Hugh Hyde Page,Q-CTRL,,,Australia,Sydney,,,,Head of Marketing,,,,,https://www.linkedin.com/in/hugh-hyde-page-54842979/,,,,,,,,,,
P3265,Marjan Shojaei,MAX BORN INSTITUTE for Nonlinear Optics and Short Pulse Spectroscopy,,,Germany,Berlin,,,,Research Assistant,,,,,https://www.linkedin.com/in/marjan-shojaei-363544246/,,,,,,,,,,
P3266,Melanie (Bates) Connell,Quantum Health,,,United States,Chicago,,,,Vice President of Sales,,,,,https://www.linkedin.com/in/to-melaniebates/,,,,,,,,,,
P3267,Uzma Rashid Mir,Quranium,,,India,Srinagar,,,,Full-Stack Blockchain Developer,,,,,https://www.linkedin.com/in/uzma-rashid-mir-62161b20a/,,,,,,,,,,
P3268,Reuben Capio,Terra Quantum AG,,,Germany,Munich,,,,Quantum Engineer,,,,,https://www.linkedin.com/in/reuben-capio-a2aa0412/,,,,,,,,,,
P3269,Brian L.,SkyWater Technology,,,United States,Washington,,,,Vice President Government Relations & Strategic Business Development,,,,,https://www.linkedin.com/in/bjlenihan/,,,,,,,,,,
P3270,Amanda Lee,D-Wave,,,United States,United States,,,,Programs Coordinator & EA to Chief Revenue Officer,,,,,https://www.linkedin.com/in/amandalee1146/,,,,,,,,,,
P3271,Andrew DeFeo,Quantum Solutions,,,United States,Villanova,,,,Founder,,,,,https://www.linkedin.com/in/andrewjdefeo/,,,,,,,,,,
P3272,Tiago Riccio,QUANTUM Participações,,,Brazil,Vitória Brasil,,,,Health and Safety Superintendent,,,,,https://www.linkedin.com/in/tiagoluizriccio/,,,,,,,,,,
P3273,Casper de Groot,ARevolution,,,Ireland,Ireland,,,,Program Director for Change and Transformation,,,,,https://www.linkedin.com/in/casperdegrootrabobankdebank/,,,,,,,,,,
P3274,Joe Balaban,HyperLight,,,United States,Boston,,,,Strategic Finance,,,,,https://www.linkedin.com/in/joe-balaban-746a81a3/,,,,,,,,,,
P3275,Hugues Meyrath,Quantum,,,United States,Daytona Beach,,,,President and CEO,,,,,https://www.linkedin.com/in/huguesmeyrath/,,,,,,,,,,
P3276,Dmitry Green,Quantum Coast Capital,,,United States,New York,,,,General Partner and Chief Science Officer,,,,,https://www.linkedin.com/in/dmitry-green-a7b9664/,,,,,,,,,,
P3277,Sepehr Bennis,PsiQuantum,,,United States,Los Angeles,,,,,,,,,https://www.linkedin.com/in/sabenis/,,,,,,,,,,
P3278,Kawtar Mahdaoui,Kawtar Mahdaoui Coaching,,,Mexico,Mexico,,,,Coach and Consultant | Growth Guru | Content Creator,,,,,https://www.linkedin.com/in/kawtar-mahdaoui-a3337810a/,,,,,,,,,,
P3279,Ang Xiao,SandboxAQ,,,United States,St Paul,,,,"Technical Lead, AI & Quantum Application",,,,,https://www.linkedin.com/in/ang-xiao-ba7a518b/,,,,,,,,,,
P3280,Will Daoud,QbitShield,,,United States,Tampa,,,,Chief Operating Officer / Founder,,,,,https://www.linkedin.com/in/willdaoud/,,,,,,,,,,
P3281,Alon Cohen,QuamCore,,,Israel,Israel,,,,Co-Founder & CEO,,,,,https://www.linkedin.com/in/alon-cohen-b6a98118/,,,,,,,,,,
P3282,Mohnish Deshmukh,Quantum,,,India,Mumbai,,,,Director Sales,,,,,https://www.linkedin.com/in/mohnish-deshmukh-98176514/,,,,,,,,,,
P3283,Sarosh Nicholas,Quantum Data Engines,,,India,Mumbai,,,,Senior Director,,,,,https://www.linkedin.com/in/sarosh-nicholas-4739a654/,,,,,,,,,,
P3284,Reinaldo Scannone,DAC Consulting Services,,,Canada,Montreal,,,,Manager - Dispute Advisory Services,,,,,https://www.linkedin.com/in/reinaldoscannone/,,,,,,,,,,
P3285,Amrita Roy,Quantum Inventions (QI),,,India,Kolkata,,,,Software QA Engineer,,,,,https://www.linkedin.com/in/amrita-roy-560273190/,,,,,,,,,,
P3286,Claudio Cicconetti,IIT-CNR,,,Italy,Pisa,,,,Senior Researcher,,,,,https://www.linkedin.com/in/cicconetti/,,,,,,,,,,
P3287,Deydi Lizbeth Araúz Moreno,First Quantum Minerals,,,Panama,Panama,,,,Stakeholder Projects Manager (Acting),,,,,https://www.linkedin.com/in/deydi-lizbeth-araúz-moreno-56b17644/,,,,,,,,,,
P3288,Ricardo Sullivan-Perez,Quantum Marketing,,,United Kingdom,Wokingham,,,,Senior Business Development Representative (International),,,,,https://www.linkedin.com/in/ricardosullivan/,,,,,,,,,,
P3289,Marc Mathys,Reset-It Inc,,,Canada,Terrebonne,,,,Company Owner,,,,,https://www.linkedin.com/in/marc-mathys-555ba0121/,,,,,,,,,,
P3290,Lior Mishan,Quantum Machines,,,Israel,Tel Aviv District,,,,Director of Product Marketing,,,,,https://www.linkedin.com/in/liormishan/,,,,,,,,,,
P3291,Parham Pashaei,Quantum Algorithms Institute,,,Canada,Vancouver,,,,"Director, Quantum Solutions, Strategy and Partnership",,,,,https://www.linkedin.com/in/parhampashaei/,,,,,,,,,,
P3292,Kwai Bun,Quantum Matrix Limited,,,Hong Kong,Hong Kong,,,,Founder & CEO,,,,,https://www.linkedin.com/in/kwaibun/,,,,,,,,,,
P3293,Henrietta Mackenzie,Commplicated,,,United Kingdom,Marlow,,,,Strategic Communications Consultant,,,,,https://www.linkedin.com/in/henriettamackenzie/,,,,,,,,,,
P3294,Edwin Wang,SandboxAQ,,,United States,Palm Beach Gardens,,,,Strategic Advisor,,,,,https://www.linkedin.com/in/edwin-wang-8a7b631b/,,,,,,,,,,
P3295,Kate Waimey Timmerman,Chicago Quantum Exchange,,,United States,Chicago,,,,Chief Executive Officer,,,,,https://www.linkedin.com/in/kate-waimey-timmerman-6a43a812/,,,,,,,,,,
P3296,Amelia Hayden,Quantum Metric,,,United States,Chicago,,,,Director of Account Management,,,,,https://www.linkedin.com/in/ameliachayden/,,,,,,,,,,
P3297,Dustin Thornton,QuantumCore Technologies,,,United States,Birmingham,,,,Founder,,,,,https://www.linkedin.com/in/dustin-thornton-974387352/,,,,,,,,,,
P3298,Diane (Amato) Ouellette,Quantum Health,,,United States,Hartford,,,,Regional Vice President of Sales,,,,,https://www.linkedin.com/in/diane-amato-ouellette-0584941/,,,,,,,,,,
P3299,Laetitia Messner,Quantum Surgical,,,United States,San Diego,,,,Chief Clinical Officer,,,,,https://www.linkedin.com/in/laetitia-messner-6320a76a/,,,,,,,,,,
P3300,Scott Scharff,Quantum Health,,,United States,Avon,,,,"Vice President, Sales Leadership",,,,,https://www.linkedin.com/in/scott-scharff-1a735a5/,,,,,,,,,,
P3301,Manuel G. Algaba,IQM Quantum Computers,,,Germany,Munich,,,,Quantum engineer,,,,,https://www.linkedin.com/in/manuel-garc%c3%ada-p%c3%a9rez-de-algaba-65653246/,,,,,,,,,,
P3302,Niels Bultink,Qblox,,Yes,Netherlands,Amsterdam,,,,Co-founder & CEO,,,,,https://www.linkedin.com/in/nielsbultink/,,,,,,,,,,
P3303,Heling (Alex) Pu,Quantum Bridge,,,Canada,Toronto,,,,Business Development Lead,,,,,https://www.linkedin.com/in/heling-alex-pu/,,,,,,,,,,
P3304,"Jennifer Wadsworth, PhD",European Space Deep-Tech Innovation Centre (ESDI),,,Switzerland,Switzerland,,,,Program Manager,,,,,https://www.linkedin.com/in/jennifer-wadsworth-phd-0b584b108/,,,,,,,,,,
P3305,Scott Meuser,Pride Mobility Products Corporation,,,United States,Pittston,,,,Chairman & CEO,,,,,https://www.linkedin.com/in/scott-meuser-918a1a29/,,,,,,,,,,
P3306,Francesc Serrano Bazaga,Qilimanjaro Quantum Tech,,,Spain,Barcelona,,,,Finance Manager,,,,,https://www.linkedin.com/in/francesc-serrano/,,,,,,,,,,
P3307,Kelly-Ann Bruce,Quantum Controls,,,United Kingdom,Thrapston,,,,Sales Director,,,,,https://www.linkedin.com/in/kelly-ann-bruce-93991a4b/,,,,,,,,,,
P3308,Martin Bale,Quantum IT Distribution Limited,,,United Kingdom,Coventry,,,,Account Manager,,,,,https://www.linkedin.com/in/martin-bale-1530791bb/,,,,,,,,,,
P3309,David Levy,DavidLevy.nyc,,,United States,Brooklyn,,,,Strategy & Communications | Expressing the new,,,,,https://www.linkedin.com/in/davidlevyprofile/,,,,,,,,,,
P3310,"Muhammad Khan, MBA",SandboxAQ,,,United States,Washington DC,,,,Director of Capture and Proposals,,,,,https://www.linkedin.com/in/muhammad-khan-mba-81465233/,,,,,,,,,,
P3311,Soumyaranjan Jhankar,"Max-Planck Institute for Solid State Research, Stuttgart, Germany",,,Germany,Stuttgart,,,,PhD Researcher,,,,,https://www.linkedin.com/in/soumyajh/,,,,,,,,,,
P3312,Justin Ging,Atom Computing,,,United States,Boulder,,,,Chief Product Officer,,,,,https://www.linkedin.com/in/justin-ging-69a0031/,,,,,,,,,,
P3313,Stefanie Tardo,Diraq,,,Australia,Sydney,,,,Chief Operating Officer,,,,,https://www.linkedin.com/in/stefanietardo/,,,,,,,,,,
P3314,Romiick shah,Quantum ProjectInfra Pvt. Ltd.,,,India,Mumbai,,,,Financial Analyst,,,,,https://www.linkedin.com/in/romiick-shah-313b7360/,,,,,,,,,,
P3315,Brian McGowan,AKMSecure,,,United States,United States,,,,CEO,,,,,https://www.linkedin.com/in/brianmcgowan/,,,,,,,,,,
P3316,Kai Hudek,IonQ,,,Denmark,Copenhagen,,,,Senior Manager - Product Engineering,,,,,https://www.linkedin.com/in/kai-hudek/,,,,,,,,,,
P3317,Cliff Kaumba,FQM Zambia,,,Zambia,Lusaka Province,,,,Inventory Audit Officer,,,,,https://www.linkedin.com/in/cliff-kaumba-46277a122/,,,,,,,,,,
P3318,Nia D.,Halestra,,,Oxford,Oxford,,,,Founder,,,,,https://www.linkedin.com/in/naturalrealignment/,,,,,,,,,,
P3319,Alfredo Troiano,QuantumNet,,,Italy,Naples,,,,CEO,,,,,https://www.linkedin.com/in/alfredotroiano/,,,,,,,,,,
P3320,Rayen Ben Ismail,QbitSoft | Quantum as a Service,,,France,Issy-les-Moulineaux,,,,Research Intern,,,,,https://www.linkedin.com/in/rayen-ben-ismail-564869196/,,,,,,,,,,
P3321,Noureldin Mohamed,Qatar Center for Quantum Computing (QC2),,,الدوحة قطر,الدوحة قطر,,,,PHD Fellow,,,,,https://www.linkedin.com/in/noureldin-mohamed-b6850274/,,,,,,,,,,
P3322,John Storie,Pride Mobility Products Corporation,,,United States,Smyrna,,,,Rehab Specialist,,,,,https://www.linkedin.com/in/john-storie-2a43245/,,,,,,,,,,
P3323,Francisco Vera Egaña,First Quantum Minerals,,,Panama,Colón,,,,Superintendent Tailings Operations,,,,,https://www.linkedin.com/in/francisco-vera-egaña-00303423/,,,,,,,,,,
P3324,"Mayur Kadu, NID, HFI-CUA",Quantum Integrators,,,United States,Jersey City,,,,Lead Product Designer,,,,,https://www.linkedin.com/in/mayur-kadu/,,,,,,,,,,
P3325,Graham Steel,SandboxAQ,,,France,Paris,,,,Head of Product - Quantum Security,,,,,https://www.linkedin.com/in/graham-steel-b383384b/,,,,,,,,,,
P3326,Laban G.,Resonance,,,United Kingdom,Bristol,,,,Senior Enterprise Associate,,,,,https://www.linkedin.com/in/laban-g/,,,,,,,,,,
P3327,Ken Obeng-Inkoom,The Quantum Group Limited,,,Ghana,Accra,,,,Group Tax Reporting Officer,,,,,https://www.linkedin.com/in/ken-obeng-inkoom-565b24189/,,,,,,,,,,
P3328,Yana Z.,iLogos Game Studios,,,Ukraine,Kharkiv,,,,Business Development Manager,,,,,https://www.linkedin.com/in/yanazaykova/,,,,,,,,,,
P3329,Satish N.,Quantum Hedging,,,United States,Paradise Valley,,,,"Founder, Director of Strategy",,,,,https://www.linkedin.com/in/satishnandapurkar/,,,,,,,,,,
P3330,Gilad Ben-Shach,Quantum Machines,,,Canada,Toronto,,,,Vice President of Business Development,,,,,https://www.linkedin.com/in/giladbenshach/,,,,,,,,,,
P3331,Trey Harvin,QUANTUM TECHNOLOGY SOLUTIONS,,,United States,Atlanta,,,,Chief Operating Officer,,,,,https://www.linkedin.com/in/treyharvin/,,,,,,,,,,
P3332,Alberto Peruzzo,Quandela,,,France,France,,,,Vice President of Next Generation Quantum Computers,,,,,https://www.linkedin.com/in/alberto-peruzzo-ab36432b/,,,,,,,,,,
P3333,Tomek Schulz,kiutra,,,Germany,Munich,,,,Co-Founder & COO,,,,,https://www.linkedin.com/in/tomekschulz/,,,,,,,,,,
P3334,OLIVIER GELEOC,Quantum Commodity Intelligence,,,United Kingdom,United Kingdom,,,,Business Development Manager,,,,,https://www.linkedin.com/in/olivier-geleoc-a8816315/,,,,,,,,,,
P3335,Amanda Thornsberry,Quantum Health,,,Ohio Metropolitan Area,Columbus,,,,Senior Recruiter,,,,,https://www.linkedin.com/in/thornsberryamanda/,,,,,,,,,,
P3336,Rachel Miller,Quantum Learning Academy,,,United States,Los Angeles,,,,Dir. Strategic Partnerships and Global Project Management,,,,,https://www.linkedin.com/in/rachelmiller-/,,,,,,,,,,
P3337,Henrik Pedersen,Centre for Quantum Mathematics (QM),,,Danmark,Odense,,,,Professor emeritus,,,,,https://www.linkedin.com/in/henrik-pedersen-1818623/,,,,,,,,,,
P3338,Ajay Marar,Quantum Technology Systems,,,United States,Redmond,,,,Co-Founder & COO,,,,,https://www.linkedin.com/in/mararajay/,,,,,,,,,,
P3339,Dr. Michael Kriegel,Quantum Systems,,,Germany,Moorenweis,,,,Head Of Architecture,,,,,https://www.linkedin.com/in/dr-michael-kriegel-994735118/,,,,,,,,,,
P3340,Mark Dabler,Liminum,,,United States,United States,,,,Chief Architect & Founder,,,,,https://www.linkedin.com/in/markdabler/,,,,,,,,,,
P3341,Romit Chakraborty,PsiQuantum,,,United States,Cupertino,,,,,,Yes,,,https://www.linkedin.com/in/romit-chakraborty-ph-d-7419088/,,,,,,,,,,
P3342,Chen-Yu Liu,Quantinuum,,,United Kingdom,United Kingdom,,,,"Research Scientist, Quantum for AI",,,,,https://www.linkedin.com/in/chen-yu-liu-549289194/,,,,,,,,,,
P3343,Brady Lundblad,Quantum Health,,,United States,Long Lake,,,,"Regional Vice President of Sales, Mid-Market",,,,,https://www.linkedin.com/in/brady-lundblad-b027455/,,,,,,,,,,
P3344,Armin Besic,Quantum Systems,,,Germany,Munich,,,,Talent Acquisition Manager,,,,,https://www.linkedin.com/in/armin-besic/,,,,,,,,,,
P3345,Adalberto Banzati,Quantum,,,Brazil,Vitória Brasil,,,,Executive Partner,,,,,https://www.linkedin.com/in/adalberto-banzati-bb71781a/,,,,,,,,,,
P3346,Manon Cancé,Quantum Surgical,,,France,Montpellier,,,,Spécialiste des ressources humaines,,,,,https://www.linkedin.com/in/manoncancé-chargéemissionsrh/,,,,,,,,,,
P3347,Susheel Maurya,Quantum World Technologies Inc.,,,India,Delhi,,,,Account Manager,,,,,https://www.linkedin.com/in/susheel-maurya-a94b1072/,,,,,,,,,,
P3348,Pablo Antonio Moreno Casares,Xanadu,,,Spain,Spain,,,,Quantum algorithm scientist,,,,,https://www.linkedin.com/in/pablo-antonio-moreno-casares/,,,,,,,,,,
P3349,Abrar Sayyed,The Quantum Insider,,,India,Pune,,,,Technical Reviewer,,,,,https://www.linkedin.com/in/abrar-sayyed/,,,,,,,,,,
P3350,Alexandru Dodon,Starlab Zone,,,United Arab Emirates,Dubai,,,,Founder,,,,,https://www.linkedin.com/in/alexandru-dodon/,,,,,,,,,,
P3351,Hoon-Ywen Li,Anzen,,,United Kingdom,United Kingdom,,,,CEO,,,,,https://www.linkedin.com/in/hoon-ywen-li-0284b4/,,,,,,,,,,
P3352,Andrew Zetterman,Quantum Workplace,,,United States,Omaha,,,,Chief Technology Officer,,,,,https://www.linkedin.com/in/andrew-zetterman-0662671/,,,,,,,,,,
P3353,Mohamad Razif Abdul Rahim,Quantum,,,Malaysia,Selangor,,,,QA Automation Developer,,,,,https://www.linkedin.com/in/mohamadrazifrahim/,,,,,,,,,,
P3354,Elliot Gonzalez,Quantum Energy Services,,,United States,Naples,,,,Territory Development Manager,,,,,https://www.linkedin.com/in/elliot-gonzalez-16322656/,,,,,,,,,,
P3355,Jaskaran Singh Saini,PsiQuantum,,,United States,San Francisco,,,,Senior Optical Packaging Engineer,,Yes,,,https://www.linkedin.com/in/jaskaransinghsaini/,,,,,,,,,,
P3356,Robert Lahmann,Kipu Quantum,,,Germany,Karlsruhe,,,,Business Development,,,,,https://www.linkedin.com/in/rob-lahmann/,,,,,,,,,,
P3357,Sophia Rizzo,Quantum Strategies,,,United States,Philadelphia,,,,Human Resources Associate,,,,,https://www.linkedin.com/in/sophia-rizzo-204294140/,,,,,,,,,,
P3358,Daniel Garden,Nu Quantum,,,United Kingdom,Cambridge,,,,Head of Engineering and Operations,,,,,https://www.linkedin.com/in/danielgarden/,,,,,,,,,,
P3359,Ben Lee Meng Thong,IQM Quantum Computers,,,Singapore,Singapore,,,,Senior Business Development Manager,,,,,https://www.linkedin.com/in/ben-lee-meng-thong/,,,,,,,,,,
P3360,Tenali Maheedhar,DataPrompt International,,,India,Chennai,,,,"Sr. Director, Client Management",,,,,https://www.linkedin.com/in/tenali-maheedhar-592b801b/,,,,,,,,,,
P3361,Dana Anderson,Infleqtion,,,United States,Denver,,,,Chief Strategy Officer (CSO),,,,,https://www.linkedin.com/in/dana-anderson-8b816813a/,,,,,,,,,,
P3362,Usama Ashraf,Quantum Bases,,,Pakistan,Lahore,,,,Senior UI/UX Designer and developer,,,,,https://www.linkedin.com/in/usama-ui-guru/,,,,,,,,,,
P3363,Linde Wester Hansen,Alice & Bob,,,Nederland,Zaandam,,,,Quantum & Business strategy manager,,,,,https://www.linkedin.com/in/linde-wester-hansen-099b4216/,,,,,,,,,,
P3364,Navya Iyengar,LNN Evara Advisors LLP,,,India,India,,,,Managing Partner,,,,,https://www.linkedin.com/in/navyaiyengar/,,,,,,,,,,
P3365,Bill Gonzalez,Quantum Realm Computing,,,United States,San Antonio,,,,Founder,,,,,https://www.linkedin.com/in/bill-gonzalez-3768bb114/,,,,,,,,,,
P3366,Raquel Flores,Technology Innovation Institute,,,أبو ظبي الإمارات العربية المتحدة,أبو ظبي الإمارات العربية المتحدة,,,,"Senior Researcher, Quantum Sensing Lab",,,,,https://www.linkedin.com/in/raquel-flores-a3806257/,,,,,,,,,,
P3367,Destiny M.,Lei A While,,,United States,Wahiawa,,,,Founder | Lead Researcher,,,,,https://www.linkedin.com/in/destinymachwaya/,,,,,,,,,,
P3368,Eric Irwin,Quantum Metric,,,United States,Littleton,,,,Senior Director of Engineering,,,,,https://www.linkedin.com/in/ericirwin1124/,,,,,,,,,,
P3369,Cameron Couch,Quantum Metric,,,United States,Howell,,,,"Senior Manager, Customer Success Engineering",,,,,https://www.linkedin.com/in/cameron-m-couch/,,,,,,,,,,
P3370,Allen Kaplun,Quantum Price Action Futures,,,United States,Prosper,,,,Founder & Principal | Quantum Price Action Futures,,,,,https://www.linkedin.com/in/allenkaplun/,,,,,,,,,,
P3371,Aveli Kornav,Quantum Fire Technology,,,Australia,Perth,,,,Administration & Systems Manager,,,,,https://www.linkedin.com/in/aveli-kornav/,,,,,,,,,,
P3372,Saúl Gálvez Breña,First Quantum Minerals,,,Peru,Peru,,,,Exploration Geologist,,,,,https://www.linkedin.com/in/saúl-gálvez-breña-44938275/,,,,,,,,,,
P3373,Naomi Braam,QSA Technology,,,Netherlands,The Hague,,,,Co Founder- CCO,,,,,https://www.linkedin.com/in/naomi-braam-1a0b5b15/,,,,,,,,,,
P3374,Danna Bailey,Chattanooga Quantum Collaborative,,,United States,United States,,,,Contractor,,,,,https://www.linkedin.com/in/dannabailey/,,,,,,,,,,
P3375,Alia Hussain,Quantum Management Services Ltd.,,,Canada,Toronto,,,,Recruitment Manager,,,,,https://www.linkedin.com/in/aliashussain/,,,,,,,,,,
P3376,Regina Finsterhoelzl,Quantinuum,,,Germany,Munich,,,,Senior R&D Scientist and Software Developer,,,,,https://www.linkedin.com/in/regina-finsterhoelzl/,,,,,,,,,,
P3377,Andrew Matthews,Quantum Pharmaceutical Ltd,,,United Kingdom,Hobson,,,,Managing Director,,,,,https://www.linkedin.com/in/andrew-matthews1/,,,,,,,,,,
P3378,Stuart Price,Quantum Advisory,,,United Kingdom,Cardiff,,,,Partner and Actuary,,,,,https://www.linkedin.com/in/pricestuart/,,,,,,,,,,
P3379,Clive J. Honess,Quantum Group Marketing,,,United Kingdom,London,,,,Managing Director,,,,,https://www.linkedin.com/in/clive-j-honess/,,,,,,,,,,
P3380,Parth Patel,Interstellar Foundry,,,United States,Atlanta,,,,Builder,,,,,https://www.linkedin.com/in/parthpatel612/,,,,,,,,,,
