ID,Company,Timestamp Slow,Active,Country,City,Location,Private/Public,Year Founded,Main Category,Subcategory,LS Main Category,LS Subcategory,Spin-Off,Website,Quantum Adjacency Score,QA score explanation,Core Business,Investment Suitability Score,Explanation Investment Suitability Score,Description,Quantum Life Science Adjacency Score,Explanation QLSA Score,Notable Awards/Top Publications,,Accelerator Programs,Recent Press Coverage,Investors,Notable Individual Investors,Important People,Latest Investment Round,Latest Round Size ($),Total Raised (M USD),Total Raised Categorization,Open Jobs (Sep 2025),Shortlist Firgun (Affinity),Website (Affinity),Priority (Affinity),Sector (Affinity),Sub-Category (Affinity),Round Size (Affinity),Investment Round (Affinity),Funding History (Affinity),Status (Affinity),Description (Affinity),Location - address (Affinity),Location - City (Affinity),Location - State (Affinity),Location - Country (Affinity),Region (Affinity),People (Affinity),Employees (Affinity),Year Founded (Affinity),Alex List of 50 LS (pb),Life Sience? (pb),Description (Pb),Former name (pb),Also known as (pb),Legal Name (pb),Primary Industry Group (pb),Primary Industry Code (pb),Verticals (pb),Company Financing Status (pb),Total Raised (pb),Owernship Status (pb),Website (pb),LinkedIn (pb),Employees (pb),Employee History (pb),Year Founded (pb),Country (pb),Keywords (pb),Business status (pb),Revenue (pb),Gross Profit (pb),Rev Growth (%) (pb),City (pb),Financing Status Note (pb),Former Investors (pb),Primary contact (pb),Primary Contact Title (pb),Active Investors (pb),Services on a Deal (pb),First Financing Data (pb),Description (Asana),MA Category (Asana),Region (Asana),Sector (Asana),CB Insights main categorization,CB Insights sub categorization,GQI Categorization,Description (GQI),Website (GQI),Category (GQI),Annualized Revenue (USD) (Specter),Profitability (Specter),Investors (TQI),Lead Investor (TQI),Domain (Clay),Funding Stage (Clay),Latest Funding Round (Clay),Investors (Clay)
C326,Masood Energy,01/09/2025,Yes,Canada,Ottawa,,Private,2014,Quantum Compute,Hardware - General,Not Life Sciences,,,https://www.masoodenergy.com/,8,"Masood Energy leverages artificial intelligence and quantum computing to develop mission-critical systems for space debris tracking, predictive battery maintenance, and secure signature matching, indicating a strong alignment with quantum technology applications.",Yes,7,"As a private company founded in 2014, Masood Energy is in the early stages of growth, making it a suitable candidate for Series A investment. Its focus on quantum computing applications in critical systems aligns with Quantum VC interests.","Developer of mission-critical systems intended to use artificial intelligence and quantum computing to mission success. The company's systems are designed to track space debris, predict battery remaining useful life, and match signatures in unsecured environments, enabling space agencies, defense organizations, and critical infrastructure operators to improve safety, efficiency, and security.",1,"Masood Energy's focus on space debris tracking, predictive battery maintenance, and secure signature matching does not directly intersect with life sciences applications.",N/A,,N/A,N/A,N/A,N/A,N/A,(Pre) Seed,,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Developer of mission-critical systems intended to use artificial intelligence and quantum computing to mission success. The company's systems are designed to track space debris, predict battery remaining useful life, and match signatures in unsecured environments, enabling space agencies, defense organizations, and critical infrastructure operators to improve safety, efficiency, and security.",,,,Software,Business/Productivity Software,"Artificial Intelligence & Machine Learning, Big Data, CleanTech, Space Technology, TMT",Accelerator/Incubator Backed,,,,,,,2014,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,masoodenergy.com,,,
C327,Qoherence Instruments,01/09/2025,Yes,Canada,Toronto,,Private,2016,Quantum Compute,Hardware - General,,,,,9,"Qoherence Instruments specializes in quantum computing hardware, specifically systems, devices, and methods to interact with quantum information stored in spins, placing them closely aligned with quantum technology.",Yes,,,"Provider of systems, devices and methods to interact with quantum information stored in spins.",,,N/A,,N/A,N/A,N/A,N/A,N/A,(Pre) Seed,,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Provider of systems, devices and methods to interact with quantum information stored in spins.",,,,Computer Hardware,Electronic Equipment and Instruments,,Private Debt Financed,,,,,,,2016,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,qoherent.ai,Grant,113811,"Creative Destruction Lab (CDL), NEXT Canada"
C328,Quantum Bridge,01/09/2025,Yes,Canada,Toronto,,Private,2019,Quantum Compute,Hardware - General,Not Life Sciences,,,https://qubridge.io/,9,"Quantum Bridge is deeply involved in quantum-safe communications, focusing on developing quantum repeaters and secure communication solutions, placing them at the forefront of quantum technology applications.",Yes,7,"As a private company specializing in quantum-safe communications, Quantum Bridge is well-positioned for Series A investment, offering a unique value proposition in a growing market.","Developer of proprietary software and repeater hardware designed to enhance quantum communications. The company focuses on the commercialization of quantum and quantum-inspired products for secure communication, distributed symmetric key exchange (DSKE), a key distribution and management system to make communication quantum-safe available for network and endpoint security, enabling companies to make current networks resilient.",3,"While Quantum Bridge's primary focus is on quantum-safe communications, their technology could have applications in securing data transmission within life sciences, though this is not their main area of operation.",N/A,,N/A,Quantum Bridge secures funding to build quantum repeaters for communication networks,N/A,N/A,"[{'Name': 'Mattia Montagna', 'Role': 'Chief Executive Officer', 'Description': 'Co-founder and CEO of Quantum Bridge, with a background in physics and applied mathematics, previously worked at the European Central Bank as Principal Financial Stability Expert.'}, {'Name': 'Hoi-Kwong Lo', 'Role': 'Chief Scientific Officer', 'Description': 'Co-founder and CSO of Quantum Bridge, a leading figure in quantum cryptography, formerly held positions with Hewlett-Packard and MagiQ Technologies, and serves as Professor at the University of Toronto.'}]",(Pre) Seed,,10,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Developer of proprietary software and repeater hardware designed to enhance quantum communications. The company focuses on the commercialization of quantum and quantum-inspired products for secure communication, distributed symmetric key exchange (DSKE), a key distribution and management system to make communication quantum-safe available for network and endpoint security, enabling companies to make current networks resilient.",,,,Software,Network Management Software,Cybersecurity,Venture Capital-Backed,,,,,,,2019,Canada,,,,,,,,,,,,,,,,,,Quantum key distribution,Quantum key distribution,,,,,,,,,qubridge.io,Seed,0,"Alumni Ventures, Club degli Investitori, Juniper Networks, Toronto Innovation Acceleration Partners, National Research Council Canada"
C329,Solid State AI,01/09/2025,Yes,Canada,Toronto,,Private,2017,Quantum Compute,Hardware - General,Not Life Sciences,,,https://www.solidstate.ai/,8,"Solid State AI leverages hybrid quantum-classical machine learning algorithms to enhance manufacturing processes, indicating a strong connection to quantum technology.",Yes,7,"As a private company with a focus on quantum-enhanced manufacturing solutions, Solid State AI presents a suitable investment opportunity for a Quantum VC focused on Series A funding.","Developer of machine learning platform designed to provide assistance in advanced manufacturing. The company's platform predicts production lines, and dynamically optimizes production parameters to adapt to changing environments, increasing product quality and allowing engineers to focus on reliable value-added tasks, enabling companies to optimize manufacturing flow, maximize product quality, and increase plant revenue.",3,"While Solid State AI's technology is primarily focused on manufacturing, its machine learning algorithms could potentially be adapted for applications in life sciences, such as optimizing laboratory processes or equipment performance.",N/A,,Creative Destruction Lab's Quantum Machine Learning program,N/A,"BDC Venture Capital, Creative Destruction Lab (CDL)",N/A,Abhi Rampal (Founder & CEO),(Pre) Seed,,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Developer of machine learning platform designed to provide assistance in advanced manufacturing. The company's platform predicts production lines, and dynamically optimizes production parameters to adapt to changing environments, increasing product quality and allowing engineers to focus on reliable value-added tasks, enabling companies to optimize manufacturing flow, maximize product quality, and increase plant revenue.",,,,Software,Business/Productivity Software,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, SaaS",Venture Capital-Backed,,,,,,,2017,Canada,,,,,,,,,,,,,,,,,,,,,"Founded in October 2017 and located in Toronto, Canada, Solid State AI is building a software-as-a-service (SaaS) platform using hybrid quantum-classical machine learning algorithms that enable process and equipment engineers to increase manufacturing yields, optimize process parameters, and reduce equipment maintenance costs and downtime. These algorithms are particularly effective at predicting on sparse data sets – those with limited data, or those with lots of noise and only a few relevant signals. Solid State AI is another alumni of Toronto’s Creative Destruction Lab’s Quantum Machine Learning program.",https://www.solidstate.ai/,Software,,,,,solidstate.ai,Seed,0,"BDC Venture Capital, Creative Destruction Lab (CDL)"
C330,UQDevices,01/09/2025,Yes,Canada,Waterloo,,Private,2010,Quantum Compute,Hardware - General,Not Life Sciences,,,https://uqdevices.com,9,"UQDevices specializes in electronic instrumentation for time-correlation measurements, crucial for quantum optics research, including multi-photon experiments and quantum cryptography systems.",Yes,1,"As a small, private company with limited funding history, UQDevices may not be suitable for a Quantum VC focused on Series A investments.","Provider of time-correlation and time-analysis instruments intended for precise time correlation and counting of detection events. The company's instruments are designed for the research on multi-photon experiments and researchers studying photon detection from entangled photon sources, implementations of quantum communication or cryptography, thereby enabling them to register and count multiple photon detector signals during research experiments dealing with counting multiple photon events easily and properly.",1,UQDevices' focus on quantum optics instrumentation has limited direct applications in life sciences.,N/A,,Accelerator Centre,N/A,Accelerator Centre,N/A,"[{'Name': 'Dr. Thomas Jennewein', 'Role': 'CEO', 'Description': 'Dr. Jennewein completed his PhD thesis in 2002 at the University of Vienna, focusing on quantum communication and teleportation experiments with entangled photon pairs. He has designed and built various circuits to analyze time and correlation signals and operate photon detectors. He is passionate about UQD and wants to share the unique instruments he has designed for his own experiments with other researchers.'}, {'Name': 'Steve MacDonald', 'Role': 'COO', 'Description': 'Steve MacDonald is experienced in various sectors including research, financial services, and transportation. A fellow of the society of management accountants, Steve also has a business degree from Wilfrid Laurier University. His background includes roles such as Chief Operating Officer at the Institute for Quantum Computing (IQC).'}, {'Name': 'Dr. Raymond Laflamme', 'Role': 'CSO', 'Description': 'Raymond Laflamme OC was born in Quebec City and did his undergraduate studies in Physics at Université Laval. He later moved to Cambridge, England where he did a PhD in the Department of Applied Mathematics and Theoretical Physics under the direction of Prof. Stephen Hawking. He is also a member of the Perimeter Institute for Theoretical Physics and a Professor in the Physics and Astronomy department at the University of Waterloo.'}]",(Pre) Seed,,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Provider of time-correlation and time-analysis instruments intended for precise time correlation and counting of detection events. The company's instruments are designed for the research on multi-photon experiments and researchers studying photon detection from entangled photon sources, implementations of quantum communication or cryptography, thereby enabling them to register and count multiple photon detector signals during research experiments dealing with counting multiple photon events easily and properly.",,,,Computer Hardware,Other Hardware,,Accelerator/Incubator Backed,,,,,,,2010,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,uqdevices.com,Seed,0,Accelerator Centre
C331,CIQTEK,01/09/2025,Yes,China,Hefei,,Private,2016,Quantum Compute,Hardware - General,Diagnostics,,,https://www.ciqtekglobal.com/,8,"CIQTEK specializes in quantum precision measurement technologies, including quantum sensors and quantum computing components, indicating a strong alignment with quantum technology.",Yes,7,"CIQTEK's focus on quantum precision measurement positions it as a promising candidate for Series A investment, though its substantial size may be a consideration.","Developer of quantum precision measuring instruments intended to provide products and services to enterprises, governments, and research institutions. The company is mainly engaged in developing measuring instruments used in the fields of advanced materials, semiconductors, quantum science, life technology, medicine and clinical research, providing clients with equipment and devices using the latest quantum technologies.",6,Ships NV wide-field/scanning microscopes and EPR systems with stated bio/biomedical applications. ,N/A,,N/A,"In June 2025, CIQTEK successfully delivered two advanced scanning electron microscopes to its U.S. distributor, JH Technologies, marking a significant step in its strategic expansion into the North American electron microscopy market. Additionally, in June 2025, representatives from the Beijing Physical & Chemistry Testing Technology Society visited CIQTEK to evaluate their NMR spectrometers, highlighting the company's growing influence in the scientific instrumentation sector.",N/A,N/A,"He Yu, Chairman of CIQTEK; Aleks Zhang, Director of Overseas Marketing at CIQTEK; John Hubacz, CEO of JH Technologies",(Pre) Seed,,,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of quantum precision measuring instruments intended to provide products and services to enterprises, governments, and research institutions. The company is mainly engaged in developing measuring instruments used in the fields of advanced materials, semiconductors, quantum science, life technology, medicine and clinical research, providing clients with equipment and devices using the latest quantum technologies.",,,,Computer Hardware,Electronic Equipment and Instruments,,Venture Capital-Backed,,,,,,,2016,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciqtek.com,Series C,0,"Iflytek, CASVC, China State-Owned Capital Venture Investment Fund, Co-Stone Venture Capital, Cowin Capital, Green Pine Capital Partners, GuoChuang Software, Hefei Industry Investment Group, Hillhouse Investment, IDG Capital, Qianhai Fund of Funds"
C332,Arclight Quantum,01/09/2025,Yes,China,Beijing,,Private,2020,Quantum Compute,Hardware - General,Drug Discovery & Development,,,,8,"Arclight Quantum specializes in quantum software products and services, focusing on integrating quantum computing into commercial applications, which places them closely adjacent to quantum technology.",Yes,7,"As a private company specializing in quantum software, Arclight Quantum is suitable for a Quantum VC focused on Series A investments, with a moderate investment suitability score.","Provider of quantum software products and services. The company focuses on narrowing the distance between quantum computing and commercial customers, and provides customers with machine learning, quantum chemistry and other software products and technical services in many fields such as finance, industry, energy, and biopharmaceuticals.",7,Arclight Quantum's focus on quantum chemistry software for biopharma applications places them closely adjacent to the intersection of quantum technology and life sciences.,N/A,,N/A,N/A,N/A,N/A,N/A,(Pre) Seed,Tens of millions of yuan,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Provider of quantum software products and services. The company focuses on narrowing the distance between quantum computing and commercial customers, and provides customers with machine learning, quantum chemistry and other software products and technical services in many fields such as finance, industry, energy, and biopharmaceuticals.",,,,Software,Business/Productivity Software,Artificial Intelligence & Machine Learning,Venture Capital-Backed,,,,,,,2020,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,thequantuminsider.com,Seed,1500000,
C333,Beida Jubang,01/09/2025,Yes,China,Beijing,,Private,2014,Quantum Compute,Hardware - General,,,,www.pkuchemqd.com,8,"Beida Jubang specializes in quantum dots, which are fundamental components in quantum computing and quantum sensing applications.",Yes,,,"Developer of quantum dots (QDs) focused on research and development, application and industrialization. The company's products and services are designed to help customers accelerate the research and production in the fields of biomedicine, chemical analysis, lighting display and solar cells, delivering benefits of a reliable and consistent manufacturing process.",,,N/A,,N/A,N/A,"Huan Shui Capital, Hinspire Healthcare",N/A,N/A,(Pre) Seed,,,<10M USD,Found 125 Jobs,No,,,,,,,,,,,,,,,,,,,,"Developer of quantum dots (QDs) focused on research and development, application and industrialization. The company's products and services are designed to help customers accelerate the research and production in the fields of biomedicine, chemical analysis, lighting display and solar cells, delivering benefits of a reliable and consistent manufacturing process.",,,,Semiconductors,Application Specific Semiconductors,Manufacturing,Private Equity-Backed,,,,,,,2014,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,mit.edu,,,
C334,CAS Cold Atom,01/09/2025,Yes,China,Wuhan,,Private,2020,Quantum Compute,Hardware - Neutral Atom,,,,,10,Cold-atom clocks/sensing from CAS ecosystem. (cascoldatom.com),Yes,,,"Developer of quantum precision measuring instruments. The company has a variety of quantum precision measurement sensors and neutral atom quantum computer research and development capabilities, providing clients with cost-controlled quantum technology products.",,,,,,,,,,(Pre) Seed,,,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of quantum precision measuring instruments. The company has a variety of quantum precision measurement sensors and neutral atom quantum computer research and development capabilities, providing clients with cost-controlled quantum technology products.",,,,Computer Hardware,Electronic Equipment and Instruments,Advanced Manufacturing,Venture Capital-Backed,,,,,,,2020,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,cascoldatom.com,Series Unknown,20000000,"CAS Star, Hubei Science and Technology Investment Angel Fund, Keyuan Industry Fund, Optics Valley Angel Fund, Richinfo Technology, Wuhan Hi-Tech, Xinguang Quantum Fund"
C335,GLight,01/09/2025,Yes,China,Suzhou,,Private,2021,Quantum Compute,Hardware - General,Diagnostics,,,www.guoshunlaser.com,8,"GLight(Suzhou) specializes in high-power ultrafast micro-structured fiber lasers, which are integral to quantum communication and high-precision sensing applications, placing them closely adjacent to quantum technology.",Yes,7,"As a private company specializing in quantum-adjacent technologies, GLight(Suzhou) presents a promising investment opportunity for a Quantum VC focused on Series A funding.","Developer of High-power ultrafast micro-nanostructure fiber laser intended to serve precision machining industry. The company focuses on developing high-power ultra-fast micro-nano structure fiber lasers used in precision processing, providing a lower dispersion, nonlinearity, loss and flexible Gas, liquid filing application and other characteristics for quantum communication, high-precision sensing, high-energy pulse, ultrashort pulse energy transmission and related industrial users.",6,"While GLight(Suzhou)'s technology is primarily focused on quantum communication and sensing, its applications in precision machining and energy transmission may have potential intersections with life sciences, particularly in medical imaging and diagnostics.",N/A,,N/A,N/A,"China-Singapore Suzhou Industrial Park Development Group, Honest Capital, Oriza Holdings, Oriza Seed Capital, Qianrong Capital",N/A,Nan Xia (Chief Executive Officer & Chairman),(Pre) Seed,Approximately 50 million yuan,7,<10M USD,Found 7767 Jobs,No,,,,,,,,,,,,,,,,,,,,"Developer of High-power ultrafast micro-nanostructure fiber laser intended to serve precision machining industry. The company focuses on developing high-power ultra-fast micro-nano structure fiber lasers used in precision processing, providing a lower dispersion, nonlinearity, loss and flexible Gas, liquid filing application and other characteristics for quantum communication, high-precision sensing, high-energy pulse, ultrashort pulse energy transmission and related industrial users.",,,,Commercial Products,Electrical Equipment,"Advanced Manufacturing, Nanotechnology",Venture Capital-Backed,,,,,,,2021,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,google.com,GRANT,1000,"Accel, DFJ Growth, Harrison Metal, Kleiner Perkins, Northgate Capital, Sequoia Capital, SV Angel, Velocity, Andy Bechtolsheim, David Cheriton, Jeff Bezos, Nihal Mehta, Ram Shriram, Vijay Chattha"
C336,Guoce Quantum Technology,01/09/2025,Yes,China,Hangzhou,,Private,2023,Quantum Compute,Hardware - General,Not Life Sciences,,,,9,"The company specializes in quantum precision measurement technologies, including chip-based atomic clocks, which are integral to quantum computing and communication systems.",Yes,1,"As a recently founded company with limited public information, it may not yet be suitable for Series A investment.","Developer of atomic clock designed for different industry. The company's products mainly focus on R&D and productization promotion of chip-level atomic clocks, aiming at the application of quantum precision measuring instruments in the fields of navigation, autonomous navigation and timing micro-terminals, military communications, electronic warfare, micro-nano satellites, unmanned driving, Internet of Things, underwater detection and other fields, providing customers with innovative products.",1,The company's focus on quantum precision measurement technologies has limited direct applications in life sciences.,N/A,,N/A,N/A,Huawei's Shenzhen Hubble Technology Investment Partnership,N/A,N/A,Series A,,15,Between 10 and 50M USD,Found 3 Jobs,No,,,,,,,,,,,,,,,,,,,,"Developer of atomic clock designed for different industry. The company's products mainly focus on R&D and productization promotion of chip-level atomic clocks, aiming at the application of quantum precision measuring instruments in the fields of navigation, autonomous navigation and timing micro-terminals, military communications, electronic warfare, micro-nano satellites, unmanned driving, Internet of Things, underwater detection and other fields, providing customers with innovative products.",,,,Commercial Products,Machinery (B2B),"Robotics and Drones, Space Technology",Venture Capital-Backed,,,,,,,2023,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,dealroom.co,Series A,6796566,"Beringea, Knight Capital, Shoe Investments, VentureBuilders Capital"
C337,Hanhai Quantum,01/09/2025,Yes,China,Hefei,,Private,2021,Quantum Compute,Hardware - General,Drug Discovery & Development,,,,8,"Hanhai Quantum specializes in quantum mechanics software for molecular simulations, directly contributing to quantum computing applications.",Yes,7,"As a private company specializing in quantum computing software, Hanhai Quantum is suitable for Series A investment, offering growth potential in a rapidly evolving sector.","Provider and developer of quantum mechanics software designed for molecular simulation materials sciences, intelligent data analysis and advanced material prediction. The company focuses on electronic structure calculations and molecular dynamics, enabling clients with quantum mechanics software.",7,"Hanhai Quantum's software applications in molecular simulations have significant implications for life sciences, particularly in drug discovery and material science.",N/A,,N/A,N/A,"CAS Star, Hefei High-tech VC",N/A,N/A,(Pre) Seed,,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Provider and developer of quantum mechanics software designed for molecular simulation materials sciences, intelligent data analysis and advanced material prediction. The company focuses on electronic structure calculations and molecular dynamics, enabling clients with quantum mechanics software.",,,,Software,Business/Productivity Software,SaaS,Venture Capital-Backed,,,,,,,2021,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,thequantuminsider.com,Seed,1500000,
C338,HS Photonics,01/09/2025,Yes,China,Changsha,,Private,2019,Quantum Sensing,Photonics / Imaging / Optics,Diagnostics,,,www.hsphotonics.com,8,"HS Photonics specializes in III-V quantum dot and quantum well laser epitaxial wafers and devices, directly contributing to quantum technology applications.",Yes,7,"As a private company specializing in quantum-related photonics, HS Photonics is suitable for Series A investment, though its relatively recent founding may present some risks.","Researcher and developer of III-V quantum dot (QD) and quantum well laser epitaxial wafer and devices intended for chip design. The company works on the fabrication and sales of III-V quantum dot/quantum well laser epi-wafer (epitaxial wafer) and devices and also provides the customization services for III-V quantum dot laser directly grown on Silicon substrate, enabling clients with silicon-based QD laser chips that can be widely used in data center, internet of things, and artificial intelligence.",5,"While primarily focused on quantum photonics, their technology has potential applications in life sciences, particularly in bio-photonics and medical imaging.",N/A,,N/A,N/A,"Hunan Chasing Fund, Hunan XiangJiang New Area Development Group, CAS Star",N/A,Siming Chen Ph.D (Founder),Series B,,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Researcher and developer of III-V quantum dot (QD) and quantum well laser epitaxial wafer and devices intended for chip design. The company works on the fabrication and sales of III-V quantum dot/quantum well laser epi-wafer (epitaxial wafer) and devices and also provides the customization services for III-V quantum dot laser directly grown on Silicon substrate, enabling clients with silicon-based QD laser chips that can be widely used in data center, internet of things, and artificial intelligence.",,,,Computer Hardware,Electronic Equipment and Instruments,"Advanced Manufacturing, Artificial Intelligence & Machine Learning, Internet of Things, Manufacturing",Venture Capital-Backed,,,,,,,2019,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,hcphotonics.com,GRANT,0,Eurostars SME programme
C339,Isia Biotech,01/09/2025,Yes,China,Chongqing,,Private,2012,Quantum Compute,Hardware - General,Diagnostics,,,www.isiabio.com,8,"Isia Biotech develops in vitro diagnostic medical technology utilizing proprietary quantum dot technology, which is closely related to quantum technology applications in healthcare diagnostics.",Yes,7,"As a private company with a focus on quantum dot-based diagnostics, Isia Biotech presents a promising investment opportunity for a Quantum VC interested in Series A funding, though its relatively small size may limit scalability.","Developer and producer of in vitro diagnostic (IVD) medical technology designed to detect and diagnose diseased based on an immune reaction. The company's technology applies its proprietary quantum dot technology through an immune reaction to test cardiovascular disease, inflammation, bone metabolism, gastric function, renal function, cancer, and other autoimmune diseases, enabling doctors to improve their ability to detect, diagnose and treat diseases.",8,"The application of quantum dot technology in diagnostics places Isia Biotech at the intersection of quantum technology and life sciences, enhancing the precision and efficiency of medical diagnostics.",N/A,,N/A,N/A,BioVenture,N/A,N/A,(Pre) Seed,,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Developer and producer of in vitro diagnostic (IVD) medical technology designed to detect and diagnose diseased based on an immune reaction. The company's technology applies its proprietary quantum dot technology through an immune reaction to test cardiovascular disease, inflammation, bone metabolism, gastric function, renal function, cancer, and other autoimmune diseases, enabling doctors to improve their ability to detect, diagnose and treat diseases.",,,,Healthcare Devices and Supplies,Diagnostic Equipment,"Life Sciences, Oncology",Venture Capital-Backed,,,,,,,2012,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,isiabio.com,Series Unknown,,BioVenture
C340,Matrix Time,01/09/2025,Yes,China,Beijing,,Private,2021,Quantum Compute,Hardware - General,Drug Discovery & Development,,,,8,Matrix Time's focus on quantum artificial intelligence and Internet of Values (IoV) positions it closely to quantum technology.,Yes,7,"As a private company founded in 2021, Matrix Time is in its early stages, making it suitable for Series A investment.",Developer of quantum artificial intelligence technology and Internet of Values (IoV) based on quantum neural network and blockchain. The company is committed to the realization of brain-like data processing and safe digital value transfer.,6,"While not directly in life sciences, their technology could be applied to healthcare data processing and secure medical information transfer.",N/A,,N/A,N/A,N/A,N/A,N/A,Series A,,100,Between 50 and 200M USD,,No,,,,,,,,,,,,,,,,,,,,Developer of quantum artificial intelligence technology and Internet of Values (IoV) based on quantum neural network and blockchain. The company is committed to the realization of brain-like data processing and safe digital value transfer.,,,,Software,Network Management Software,Artificial Intelligence & Machine Learning,Venture Capital-Backed,,,,,,,2021,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,matrixtime.com,Series A,100000000,"CAS Star, China Fortune-Tech Capital, Hunan Hi-Tech Venture Capital, Nanjing Jiangbei Intelligent Manufacturing Industry Fund, Nanjing Jiangbei New Area Industrial Investment Group, Neovision Capital, SBI Group, Suzhou HYC Technology"
C341,MiQro Era,01/09/2025,Yes,China,Shanghai,,Private,2022,Quantum Compute,Hardware - General,Drug Discovery & Development,,,https://miqro-quantum.de/,8,"MiQro Era is a quantum computing application company that offers cutting-edge quantum computing technology to solve technical problems, indicating a high level of adjacency to quantum technology.",Yes,7,"As a private company with a focus on quantum computing applications, MiQro Era is suitable for Series A investment, offering growth potential in a rapidly evolving sector.","Developer of quantum computing technologies intended to solve complex problems in the field of molecular electronic structure. The company's technologies utilize the unique properties of quantum systems to enable efficient processing of information carried by multiple qubits and address challenges that classical computers struggle to solve, such as electronic structure calculations in molecular systems (Part 2), providing advanced computational capabilities to researchers and scientists in the field of molecular science and beyond.",7,"MiQro Era's focus on molecular electronic structure simulation positions it closely to applications in life sciences, particularly in drug discovery and development.",N/A,,N/A,N/A,"Zhite New Materials, Kunlun Capital",N/A,Chuan Lv (Founder),(Pre) Seed,,,<10M USD,❌ No Job Found,No,,,,,,,,,,,,,,,,,,,,"Developer of quantum computing technologies intended to solve complex problems in the field of molecular electronic structure. The company's technologies utilize the unique properties of quantum systems to enable efficient processing of information carried by multiple qubits and address challenges that classical computers struggle to solve, such as electronic structure calculations in molecular systems (Part 2), providing advanced computational capabilities to researchers and scientists in the field of molecular science and beyond.",,,,Pharmaceuticals and Biotechnology,Discovery Tools (Healthcare),Life Sciences,Venture Capital-Backed,,,,,,,2022,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,thequantuminsider.com,Seed,1500000,
C342,Nanzhixin Materials,01/09/2025,Yes,China,,,Private,2021,Quantum Compute,Hardware - General,Not Life Sciences,,,,4,“南智芯材” makes lithium-niobate optical crystals used in photonics (enabling tech). (m.chinaventure.com.cn),No,1,"The company is in its early stages, having been founded in 2021, and is not yet profitable, making it less suitable for a Series A investment.","Developer of optical-grade lithium niobate crystal designed for optical (quantum) chips. The company mainly engages in the R&D and industrialization of lithium niobate (LN) and lithium tantalate (LT), enabling clients to have crystal materials with high nonlinear, electro-optic and piezoelectric properties.",1,The company's focus on optical crystals for quantum chips has limited direct applications in life sciences.,N/A,,N/A,N/A,N/A,N/A,N/A,(Pre) Seed,,,<10M USD,,No,,,,,,,,,,,,,,,,,,,,"Developer of optical-grade lithium niobate crystal designed for optical (quantum) chips. The company mainly engages in the R&D and industrialization of lithium niobate (LN) and lithium tantalate (LT), enabling clients to have crystal materials with high nonlinear, electro-optic and piezoelectric properties.",,,,Chemicals and Gases,Industrial Chemicals,Advanced Manufacturing,Venture Capital-Backed,,,,,,,2021,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,company-information.service.gov.uk,SPINOUT,0,"Cambridge Enterprise, University of Cambridge"
